地名,地名ID,英文地名,去过人数,描述,当地top1,当地top2,当地top3
比如,156,Biru County,1162,"比如县是那曲地区下辖县，地处那曲地区东部、唐古拉山和念青唐古拉山之间，属怒江上游流域，比如藏语意为""母牦牛群""。地形以以低山丘陵为主，间有高山峡谷，四周冰山雪峰环绕。比如历史悠久，民风古朴，自然景观多姿多彩。境内的景点有，气候宜人，环境优美的羊秀自然风景区，位于曲乡达摩寺内神秘的比如骷髅墙，以及觉沃白宗嘎尔波山等。",骷髅墙,萨普神山,达木寺
川藏北线,157,ChuanZang,1400,川藏北线沿途基本上是沿鲜水河、雅砻江而上，时有草场、峡谷、河水、河原等地形，经过优良的农区，寺院林立，景色奇丽，冰峰雪山美若云中仙子。沿途高原湖泊、雪山、温泉密布，极少有旅游者涉足，是越野探险者推崇的极品线路。川藏线海拔高，人口稀少，景色原始壮丽，以其独特的魅力吸引着越来越多的探险者。,布达拉宫,成都大熊猫繁育研究基地,宽窄巷子
灵石,158,Lingshi,1177,灵石县位于山西省中部，晋中盆地南端，四周群山环绕，山峦重叠，素有“秦晋要道，川陕通衢”之称，乃为晋中通往晋南之咽喉，自古以来就是兵家必争之地。灵石县旅游资源极为丰富，属国家级文物保护的有旌介古遗址、王家大院、资寿寺、晋祠庙、后土庙，省级文物保护单位有静升文庙，石膏山森林公园为国家级森林公园、省级风景名胜区、省级地质公园。王家大院是清代民居建筑的集大成者，由历史上灵石县四大家族之一的太原王氏后裔― 静升王家于清康熙、雍正、乾隆、嘉庆年间先后建成，建筑规模宏大，极具游览价值。,王家大院,红门堡,高家崖
昭苏,159,Zhaosu County,1251,昭苏县为中亚内陆腹地一个群山环抱的高位山间盆地，位于新疆伊犁河上游特克斯河流域，境内有哈、汉、蒙、维、回等21个民族。昭苏因出产“腾昆仑，历西极”的天马，被国家农业部命名为“中国天马之乡”，也因汉朝时著名的“乌孙国”而闻名，是新疆乌孙文化的发源地之一，自然资源和旅游资源都很丰富。有汉室细君公主墓园、富有传奇色彩的夏特古道、吸引各地疗养者的夏特温泉、新疆最大的藏传佛教寺庙－圣佑庙等，此外，昭苏县还因其丰富的资源而被称为“中国油菜之乡”、“中国褐牛之乡”。,夏塔旅游区,昭苏油菜花,阿贡盖提草原石人
永康,160,YongKang,1392,"永康市隶属于浙江省地级市金华市，位于浙江省中部的低山丘陵地区。永康历史悠久，山川秀丽。有黄帝铸鼎的美丽传说，有春秋铸剑，汉造驽机，唐铸铜铳的传统技艺，有山清水秀的田园风光和古朴纯正的乡风民俗，是闻名海内外的""五金之都""和旅游胜地。由于《天龙八部》在永康的顺利拍摄，方岩景区吸引了越来越多的影视制作者，方岩石鼓寮影视城有望成为继东阳横店后，又一个著名影视拍摄基地。",永康方岩,方岩山,五指岩
永川,161,Yongchuan District,1242,重庆永川区地处重庆西部，是重庆规划的第三大城市。永川看头十足，明媚春光里，去风光旖旎的国家森林公园―永川茶山竹海享休闲度假，看相互缠绕的3 万亩茶园和5万亩天然竹林交相辉映；到“春来花飘香，秋到果满山”的永川黄瓜山乡村旅游区赏花、狩猎、体会农家快乐；前往香海温泉泡汤喝茶，享受静谧悠闲时光……在永川不仅仅只有山水，还有充满珍奇野兽的重庆野生动物世界、古香古色的松溉古镇、卫星湖等多处景点，亲近自然、寻找悠长古韵的同时，还可以泛舟于湖上，品尝特色美食。,中国茶山竹海国家森林公园,乐和乐都主题乐园,重庆野生动物园
盘山,162,Panshan Mountain,1095,盘山位于天津市蓟县城西，似一条巨龙，盘桓于京东津北。盘山景色四季各异，以“五峰八石”、“三盘之胜”而奇特称绝。清乾隆皇帝曾 32 次游历盘山，为盘山写下了 1366 首诗词，发出了“早知有盘山， 何必下江南”的感叹。盘山景色秀美，风景迷人，如果运气好的话还可以看到云海。,盘山风景区,蓟县白塔寺,天津天成寺舍利塔
赵县,163,Zhao County,1111,赵县，古称赵州，位居河北省省会石家庄市东南40公里处。赵县位于河北平原，光热充足，地下水丰富，利于井灌，又有石津渠灌溉之利，农业发达，东部为沙质褐土，适于雪花梨生长。赵县共有文物保护单位21处，其中国家及保护文物有安济桥、永通桥、陀罗尼经 幢、大观圣作之碑、柏林寺塔，省保文物有各子汉墓群、宋子城遗址、宋村商周遗址、许家郭汉墓、禅林寺舍利塔、李宪墓。,石家庄赵县赵州桥,柏林禅寺,陀罗尼经幢
乌兰,164,Ulan County,1482,"乌兰县位于青海省海西蒙古族藏族自治州境东部，总面积10,784平方千米，2003年末总人口3.9万。以汉族为主，蒙古族为次，还有藏、回、土等20多个少数民族。此地拥有众多名胜古迹，如都兰寺，察尔汗盐湖等，人们熟知的魔鬼城，这是青海柴达木盆地南八仙、一里坪一带的雅丹地貌群，长达近百公里，宽约数十公里，风蚀残丘，姿态各异， “雅丹”是维吾尔语，意为“风化土堆群”。数千万年的风沙造就了“魔鬼城”神秘莫测、奇幻万千的风蚀土林，使之成为柴达木盆地最有魅力的旅游景点之一。",茶卡盐湖,漠河盐场,茶卡寺
浦江,165,Pujiang,1392,浦江位于浙江中部，金华市北部，历史悠久，至今已有1800多年历史，有“文化之邦”、“书画之乡”之称。有距今万年的“上山文化”遗址，是中国长江下游及东南沿海地区迄今发现的年代最早的新石器时代遗址；自宋迄明，郑氏同居15世，三朝旌表，明太祖朱元璋御赐“江南第一家”。浦江还是远近闻名的毓秀之区、休闲之地，自然景观有白石湾、神丽峡、仙华山等。浦江还有“水晶之都”、“挂锁之城”的称号，工业产业众多，是水晶、挂锁全国最大的产品集散地。,仙华山景区,浦江江南第一家,嵩溪村
小金,166,Zainlha,1384,小金县，旧名懋功，位于四川省西北部，阿坝藏族羌族自治州南端。境内河流众多，水利资源丰富，是长江流域的水源涵养、水土保持的源头之一。小金为藏、羌、回、汉民族杂居区，嘉绒藏族为主体民族，民族风情独特而多样。自然资源十分丰富，旅游资源得天独厚。境内有中国工农红军万里长征徒步翻越的第一座大雪山―夹金山，被海内外游人敬奉为“东方圣山”的四姑娘山国家风景名胜区，夹金山国家级森林公园，巴郎山抚边风景区，美兴镇风景区等景点。还有日隆喇嘛寺、锅庄坪、朝山会会址、清真寺、观音阁、革命烈士纪念塔灯文物古迹。,双桥沟,长坪沟,巴郎山
新郑,167,XinZheng City,1435,新郑的历史可以追溯到上古时代，轩辕黄帝在此建都，黄帝故里是国家4A级景区，景区分为拜祖区、故里祠区、广场区三大区域，每年都有成千上万的海内外炎黄子孙来此寻根拜祖。这里也是中华民族之母――嫘祖的故里，由于她发明了养蚕，所以称为“嫘祖始蚕”，农历六月初六是黄帝和嫘祖结婚纪念日，为缅怀嫘祖功德，2012年7月第十二届嫘祖文化节恭拜嫘祖仪式在河南新郑始祖山顶嫘祖宫前举行。此外，境内还有裴李岗遗址、郑国车马坑、郑韩故城、具茨山、郑风苑、黄帝古枣园等景点。,双鹤湖中央公园,黄帝故里,始祖山风景区
仓山,168,Cangshan District,1305,仓山区位于福建省福州市区南部南台岛上，四面环江，素有“琼花玉岛”之美称。仓山拥有多元化的旅游景观，能够满足不同游客的需求。如果你是一个自然爱好者，你可以到金山公园、烟山公园、城山猪姆猪仔风动石等景点放松身心；如果你迷恋于历史文化，那么外国领事馆聚集的烟台山地区、琉球墓园、安澜会馆将是你的必访之地；如果你对民国文人感兴趣，不妨去严复故居、蔡襄祠堂、陈若霖墓游览一番。,泛船浦天主教堂,农林大学,花海公园
芷江,169,Zhijiang,1177,芷江侗族自治县，位于湖南省西部，地处武陵山系南麓云贵高原东部余脉延伸地带，东邻中方县、鹤城区，南接洪江市、会同县，西连新晃侗族自治县及贵州省万山特区，北界麻阳苗族自治县及贵州省铜仁市。县城芷江镇距怀化市仅39公里。素有“滇黔门户、黔楚咽喉”之称。,芷江龙津风雨桥,芷江受降纪念坊,陈纳德与飞虎队纪念馆
井陉,170,Jingxing County,1231,井陉县地处太行山东麓，河北省西陲。井陉以地形而得名，境内崇山峻岭，地势险要，素有“太行八陉之第五陉，天下九塞之第六塞”之称乃冀通衢要冲，历代兵家必争之地。井陉名胜古迹众多，境内有驰名中外的国家级风景名胜区苍岩山，黄栌遍野的仙台山，此外，背水古战场、宋代古城、宋金壁画墓群、千佛岩石雕等数不胜数的自然、人文景观。,苍岩山国家级风景名胜区,石头村,石家庄井陉县仙台山风景区
凤城,171,Fengcheng City,1525,凤城市位于辽宁省东部，是丹东市代管的一个县级市。北邻本溪满族自治县，南与丹东市振安区和东港市接壤，东靠宽甸满族自治县，西与辽阳县、岫岩满族自治县毗连。森林覆盖率高，山多林密，野生资源繁多，动植物种类多样。矿产资源丰富，砂金和脉金储量较大，是全国黄金众多产区之一。历史悠久，境内旅游资源丰富。有国家4A级风景名胜区凤凰山，玉龙湖、浦石河原始森林、大梨树花果山、赛马溶洞群、爱河鸽子洞、东汤温泉和古遗址、古城堡等旅游景点。,凤凰山,蒲石河森林公园,大梨树生态旅游区
吉安乡,172,Ji'an,1193,吉安乡位于台湾花莲县东部北段，北临花莲市，东滨太平洋，西邻秀林乡，南接寿丰乡，为花莲县人口第二多的乡镇，仅次于花莲市。吉安乡过去是阿美族人蟠居之地，昔时阿美族人发现此地薪柴很多，于是称为「知卡宣」。境内气候条件优越，土壤肥沃，农业发达，花莲市三分之二蔬菜量靠吉安乡供应。境内的旅游景点有庆修院、吉安乡横断道路开凿纪念碑、胜安宫、慈惠堂、佛兴寺、南华观光花园郁金香花园、阿美文化村、秀朗兰园等等。,吉安庆修院,慈济大学,阿美文化村
河口瑶族自治县,173,Yao Autonomous County of Hekou,1221,河口夏日长，湿度大，雨量充沛，森林资源得天独厚，南溪河两岸都是热带原始沟谷雨林景观，动植物资源丰富，种类繁多，尤以江河、溶洞景观、瑶族风情著称，现辟建南溪河省级风景区。鳖和黄鱼是红河的特产，在这里还可以品尝到一些越南的土特产和风味小吃。河口的南溪河漂流极具挑战性，它集冒险、健身、娱乐、休闲、游山玩水等为一体，使游客焕发历险克难的勇气和智慧，感受游山玩水的痛快。水急滩险，集中了6个险滩和40多个急滩，此起彼伏，惊险刺激。中段波平水缓，徜徉其中，心旷神怡。下段八九公里，是中越边界河。并且中国西南地区进入东南亚最便捷的陆地通道之一。,河口南溪河漂流,花鱼洞国家森林公园, 
朝阳,174,Chaoyang,1139,朝阳市是位于辽宁省西部的一个地级市，古称“龙城”，南临河北省，北接内蒙古自治区，是东北通往关内的咽喉要道。朝阳市面向沿海，背依腹地，地理位置优越。这里历史悠久，是一座有1700多年建城史的历史文化名城，三燕古都。旅游资源丰富，境内最著名的景点是凤凰山。凤凰山被誉为“天下第一佛教圣山”，是辽西一大名山。还有鸽子洞古人类遗址、牛河梁红山文化遗址、朝阳鸟化石国家地质园等旅游景区。拥有灿烂的红山文化，被誉为“世界上第一朵花绽放的地方，第一只鸟飞起的地方”。,朝阳市古生物化石博物馆,朝阳市凤凰山风景名胜区,朝阳市北塔博物馆
石台,175,Shitai,1543,台县位于安徽省南部，皖南山区西部。东与黄山区交界，南与黟县、祁门县相连，西与东至县接壤，北与贵池区、青阳县为邻。地理坐标为北纬29°59′―30°24′，东经117°12′―117°59′。全县东西最长处70.7公里，南北最宽外46公里，总面积1413平方公里，约占全省总面积的1%。全县面积约占安徽省总面积的1%，其中88.5%是山地。石台县是安徽省生态环境最好的县份和皖南山区著名的茶乡，境内山清水秀，生态优良，旅游资源极其丰富，是安徽省“两山一湖”旅游经济圈的重要组成部分。,石台牯牛降,仙寓山,蓬莱仙洞
昌江,176,Changli,1608,昌江黎族自治县位于海南的西北部，依山面海，是中国芒果之乡。昌江的旅游资源十分丰富，除了美丽的海景，还有十里九峰，雄伟峻峭的昌化岭，中国唯一保护长臂猿及其生存环境的国家级自然保护区――霸王岭，30多公里海岸线的沙漠地带――滨海沙漠等众多景观。,棋子湾旅游度假区,霸王岭,昌化镇
雷州市,177,Leizhou City,1429,雷州市是广东省湛江市下辖的一个县级市，位于广东省西南端的雷州半岛上，两面临海。东濒南海，西靠北部湾，北与湛江市郊、遂溪县接壤，南与徐闻县毗邻，地理位置优越，素称“天南重地”。雷州市海洋资源极其丰富，是中国“南珠”的重要产地。雷州历史悠久，历史文化积淀厚重，“雷州文化”作为区域文化，名列为广东“四大文化”之一。雷州市境内文物古迹众多，有雷阳八景之一的雷祖祠，三元塔，真武堂，西湖公园，天宁寺等。,乌石镇,雷州古城,雷州西湖
塘栖,178,Tangqi,1353,塘栖，地处杭嘉湖平原南端，是浙北重镇、江南水乡名镇、属杭州临平副城副中心。塘栖水陆空交通十分便捷，浙S13申嘉湖杭高速公路穿镇而过，浙S304省道、京杭运河东西向贯穿全镇，塘康公路、拱康路、圆满路延伸段（S304省道G320国道连接线）直通杭州，距杭州主城区十五公里，水上巴士直达武林门。现辖27个村，7个社区，近10万人口，总面积79平方公里。是闻名遐迩的“鱼米之乡、花果之地、丝绸之府、枇杷之乡”。,杭州广济桥,琵琶湾生态农庄,塘栖水北粮站
德化,179,Dehua,1512,德化位于福建省 ，泉州市西北部，位于福建省中部，以“瓷”闻名天下，曾与江西景德镇、湖南醴陵并称为中国三大古瓷都，也是目前全国最大的工艺陶瓷生产和出口基地，2003年中国工艺美术协会被授予“中国瓷都”称号。德化风光优美，境内山多、水足、矿富、瓷美，素有“闽中宝库”之称。德化著名的月记窑已有近400年历史，是目前德化县保存完好、最为久远的龙窑，可以说是龙窑的活化石。此外，九仙山、革命遗址、戴云山国家自然保护区等都是德化著名景点。,德化岱仙瀑布,戴云山,德化九仙山旅游度假区
天门,180,Tian Men,1485,天门，古称竟陵，意为“陵之竟也”，1726年（清雍正四年）更名为天门，成为迄今为止中国省直辖市名称笔画最少的城市。从秦始置县算起，天门已有2000多年历史。天门是中国内陆最大的侨乡，典型的江汉水乡，中国唯一兼具东湖、西湖的城市，新型的现代化、工业化园林城市，夜景为江汉之最；是江汉地区教育、商业、医疗和房地产业最发达的地区之一，经济增速位居全省前列[1] ，连续8年进入全国最具投资潜力中小城市百强，是全国著名的棉乡、状元之乡 ，中国棉都，中国最大的棉花交易中心，全国产粮大市，中国茶城 ，中国蒸菜之乡 ，中国曲艺之乡 ，全国科技进步先进市 ，武汉城市圈成员城市，武汉城市圈西部综合交通枢纽。,陆羽纪念馆,东湖公园, 
盱眙,181,Xu Yi,1784,江苏省淮安区盱眙县位于江苏省北部，淮河下游，历史上曾是诸侯会盟的地方。曾孕育一代开国帝王朱元璋。境内古迹众多，有夏禹治水、老子炼丹的遗迹、陈婴举旗拥楚反秦的遗址、项梁、刘邦集聚的城垣、五代十国柴王寨的旧迹和岳飞与金兀术对垒的古战场等。历代文人骚客都在盱眙留下过世代传诵的名篇佳句。除此之外，盱眙还有丰富的物产资源。如矿产、牧草、中药材、生物和林木。盱眙县人均国土面积列江苏省各县（市、区）之首。境内地势西南高，多丘陵低山；东北低，多平原；呈阶梯状倾斜，高差悬殊220多米。淮河流经境内，北部濒临洪泽湖。境内有低山、丘岗、平原、河湖圩区等多种地貌。,明祖陵,铁山寺国家森林公园,盱眙第一山
吉县,182,Jixian,1477,吉县位于山西西南边隅，吕梁山南端，地处黄河中游，是山西临汾市所辖县。境内三面环山，一面滨水，地居军事要冲，有“兵家必争”之说。吉县境内气候四季分明，光照充足，种植苹果有得天独厚的土壤、气候条件，为吉县第一大支柱产业。境内有中国第二大瀑布―壶口瀑布，滔滔黄水在这里敛水成束，流水直泻，景色非常壮观。除了壶口瀑布外，还有壶口国家地质公园、万山红遍层林尽染的管头山红叶、四季风光优美，珍禽异兽众多的人祖山、现存面积最大、堆积最厚、内涵最丰富的柿子滩旧石器时代遗址等风景名胜。,山西侧壶口瀑布,小船窝景区,桃花汛
临江,183,Linjiang,1060,临江市是吉林省白山市下辖的一个县级市，位于吉林省东南部、长白山腹地、鸭绿江畔。临江市有一个边境口岸及一座桥梁通往朝鲜。临江市动植物资源丰富，素称“长白山立体资源宝库”，同时地广人稀，民风淳朴。临江拥有江心岛公园、北山公园、温泉渡假村游泳馆、溪谷庄园、鸭绿江漂流、苇沙河风景区等一批旅游景点，还可以通过临江市进行朝鲜一日游。,松岭,江心公园,四保临江纪念馆
霸州,184,Bazhou,1478,霸州位于冀中平原东部，位 于京、津、保三角地带中心，属环京津、环渤海城市群，“屏拱京都，近得宫中圣泽；翼张津卫，先迎海外长风”这就是霸州。霸州全力打造“四乡一镇”，“四乡”即温泉之乡、翰墨之乡、词赋之乡和戏曲之乡；“一镇”即胜芳古镇，初步形成了到霸州“看戏曲赏心悦目、赏丹青体味雅韵、颂词赋怡养性情、泡温泉养生健体、游古镇感悟历史”的文化旅游品牌。,胜芳古镇,张家大院,大佛禅寺
甘泉县,185,Ganquan County,1105,甘泉县是极具传统特色的地方，这里的人们善舞秧歌、跑旱船，动作敏捷优美，酷似水上漂。这里还有寺沟村遗址和史家湾遗址两处古遗址，保存完好。甘泉县内甘泉寺依山而建，山势奇峻，古柏森然，每逢古历四月十八，这里有传统庙会，群众云集，热闹非凡。,甘泉雨岔大峡谷,龙嘴,劳山公园
千灯,186,Qiandeng,1292,千灯古镇是明末清初杰出的思想家、文学家、爱国学者顾炎武先生的故乡，其名言“天下兴亡，匹夫有责”一直激励着天下无数仁人志士；镇上不仅有堪称“中国第一当”的余氏典当行，还有“江南一绝”的明清石板街和名贵的缅甸白玉精雕细琢而成释迦牟尼涅像；顾坚纪念馆、秦望山、少卿苑、延福禅寺、三桥邀月、秦峰塔等景点同样吸引无数游客前往。,千灯馆,顾坚纪念馆,余氏典当
白沙古镇,187,Baisha,1196,白沙古镇位于丽江城北约10公里，北临玉龙雪山，南至龙泉，西依芝山玉，是丽江古城景区的一部分，是丽江土司木氏家族的发源地，最原生态的纳西村落。千年来这里的纳西族人一直保持着传统的生活和劳作方式。白沙古镇里面有一个非常有名的景点“白沙壁画”，“白沙壁画”是明代纳西族社会大开放的产物，它的绘制从明初到清初，先后延续了300多年。,白沙壁画,福国寺,沙蠡故居
汨罗,188,MiLuo,1637,汨罗位于中国湖南省东北部，因汨罗江而得名。汨罗自古是湖南人杰地灵的宝地。汨罗 是伟大的爱国诗人屈原晚年生活、写作、以身殉国的地方，所以汨罗有众多的纪念屈原的名胜古迹。为纪念屈原，汨罗江畔端午节一般会从农历五月初一开始到十五日止，除办盛宴、吃粽子、插艾挂菖、喝雄黄酒、赛龙舟外，雕龙头、偷神木、唱赞词等等都有神秘的仪式和独特的文化，被列为非物质文化遗产。,屈子祠,任弼时故居,屈原墓
北部湾,189,Beibu Gulf,1469,北部湾位于我国南海的西北部，是一个半封闭的大海湾，为中越两国陆地与中国海南岛所环抱，著名的景点北海银滩，涠洲岛，钦州三娘湾等都位于北部湾地区。北部湾不仅拥有美丽的海洋景观，和丰富的鱼类资源，更是我国重要的油气产地，还是天然的深水良港，是中国接触东南亚各国的海上交通要道。,鳄鱼山火山公园,五彩滩,盛塘天主教堂
阜阳,190,Fuyang City,1598,阜阳市位于安徽省的西北部、淮北平原西部，在我国南北气候分界线秦岭、淮河一线的交界处，是安徽省人口最多的城市。历史悠久，是甘罗、管仲、鲍叔牙、吕蒙、刘福通的故里，晏殊、欧阳修、苏轼曾在此为官。地理位置优越，为皖北重要的门户。交通便捷，是安徽3大枢纽之一，拥有京九线上最大的编组站。是全国五大农民工输出源头之一。境内有文峰塔、阜阳生态园、奎星楼、颍州西湖、八里河风景区、迪沟生态乐园等景点。,八里河风景区,颍州西湖,文峰公园
阳春,191,Yang Chun County,1058,阳春，是中国广东省阳江市所辖的县级市，意取“漠水之阳，四季如春”。位于广东省西南部，漠阳江中上游，毗邻珠江三角洲、香港、澳门，是广东省面积第二大的市。阳春市森林覆盖率高，动植物资源丰富。地处祖国大陆最南端的喀斯特地貌地带，旅游资源得天独厚。省级旅游度假区，春湾凌霄风景区已成为国内特别是港台影视拍摄重要基地。还有，凌霄岩、鹅凰嶂省级自然保护区、花滩森林公园、水瀑布、春湾石林等独特的子让景观。,春湾风景区,崆峒岩风景区,玉溪三洞
昆明安宁,192,Anning City,1542,安宁市是云南省昆明市下辖的一个县级市，距昆明主城区28千米，东面和东北面与西山区接壤，西面和西北面与禄丰县交界，南面和东南面与晋宁县相连，西南面与易门县毗邻。 安宁古城连然，是昆明通往滇西的门户重镇，自古称“诸爨要冲”，被誉为“连然金方，螳川宝地”。境内矿产资源丰富，是云南省最大的钢铁、盐和磷化工基地。安宁市内最著名的景点在安宁市温泉小镇，镇中的金色川旅游区以历史悠久的“天下第一汤”温泉、宋代曹溪寺、人文墨迹荟萃的摩崖石刻群、凤山森林浴场、牧羊湖、青龙寺、青龙峡风景区等旅游资源而闻名。,青龙峡风景区,螳螂川,温泉摩崖石刻群
祁县,193,qi xian,1212,祁县位于山西省中部，太岳山北麓，太原盆地南部，汾河东岸。祁县历史可以追溯到新石器时代，早在距今五千年以前的母系氏族公社时期，先民们就在祁县这块土地上繁衍生息，为国家历史文化名城之一。祁县素以文风著称，祁县图书馆现有藏书11.7万册，其中古籍图书5.03万册，善本图书3万余册，数量之多，版本之精，为县级图书馆少有。祁县最为著名景点为乔家大院，电影《大红灯笼高高挂》和电视连续剧《乔家大院》的所有场景都在乔家大院拍摄，成为祁县最著名的旅游景点。,乔家大院,渠家大院,昭馀古城
石棉县,194,Shimian County,1242,石棉县是雅安市所辖的一个县。地处四川省西南部，雅安市最南端，东连汉源县、甘洛县，南接越西县、冕宁县，西依九龙县、康定县、北与泸定县毗邻。石棉县境内自然和旅游资源丰富。有闻名古今中外的红军强渡大渡河胜利纪念地安顺场和太平天国翼王石达开全军覆没遗址；有与海螺沟冰川公园相毗邻的贡嘎山南坡的省级风景区田湾河自然风景区。,孟获城,安顺场,中国工农红军强渡大渡河纪念馆
乌尔禾,195,Wuerhe,1237,乌尔禾，又被称为魔鬼城、乌尔禾风城，位于新疆维吾尔自治区克拉玛依市乌尔禾区境内，距克拉玛依市东北90千米，乌尔禾乡东约5千米，东经85°19′，北纬46°6′（217国道310千米以东），地面海拔高程300--500米，平均海拔380米。乌尔禾呈北西一南东走向，长约5千米，宽约3千米，面积约15平方千米，由一系列近北西一南东走向的孤立台地组成。 台地高10―50米，由广泛出露的白垩系下统吐谷鲁群构成，主要岩性为浅水湖泊相灰绿色细砂岩与棕色、褐红色泥岩、砂质泥岩，吐谷鲁群略呈水平状，向东南方向微倾，倾角约5度。,克拉玛依市魔鬼城景区,乌尔禾胡杨林,艾里克湖
钟祥,196,Zhongxiang,1349,钟祥市，隶属于湖北省，位于湖北省中部，汉江中下游，版土面积4488平方公里，人口105万人，现辖17个（乡镇）街办、3个国营农牧尝2个省级经济技术开发区。钟祥市是中国历史文化名城，中国优秀旅游城市，中国长寿之乡，世界文化遗产地，国家社会发展综合实验区，全国科技、教育、文化先进县市，省级文明城市、卫生城市、园林城市，是全国特色产业集群品牌50强基地之一，是江汉平原一颗璀璨的明珠。,明显陵景区,黄仙洞,莫愁湖
周至,197,Zhouzhi County,1208,"周至县属西安市辖县，距西安市区78公里，是关中平原著名的大县之一。为千里秦岭最雄伟且资源丰富的一段。北部是一望无垠的关中平川，土肥水美。南部是重峦叠嶂、具有神奇色彩的秦岭山脉。山、川、塬、滩皆有，呈“七山一水二分田”格局。周至襟山带河，以山重水复而得名，老县城地处秦岭山脉中，四面环山，有片未曾开发过的原始森林，其中金丝猴、羚牛、豹子等常有出没，设有太白山大熊猫自然保护区,栖息着30余只大熊猫，同时还拥有冷杉、竹叶草等珍稀野生植物。我们在行车途中也常见野鸡、小松鼠等窜于路边，很有原始山林的感觉。老县城民风已不淳朴，人少， 床少 ，吃价不菲。村中家家户户之间都非常熟悉，颇有“日不闭户，路不拾遗”之古风。",楼观台国家森林公园,杨公塔,小文公庙
阳城,198,Yangcheng,1105,阳城县位于山西省东南部，东连泽州县，南邻河南省济源市，西与垣曲、沁水县相接壤，北与沁水县相邻。阳城县属于温带半湿润气候四季分明，景色秀美。阳城四面环水全县河流均属黄河水系。其具有丰厚的农产业和旅游资源，真可谓是山杰地灵的一块风水宝地。,皇城相府,阳城蟒河景区,郭峪村
屏南,199,Pingnan,1684,屏南县，地处福建省宁德市，这里是鸳鸯的故乡，也是鸳鸯猕猴自然保护区。风景秀丽，溪流纵横，奇山异水，林海苍莽，来到屏南，仿佛置身于绝美的画作之中。倦了都市的喧嚣，到屏南来亲近自然，赏天下奇景，岂不妙哉？,白水洋景区,鸳鸯溪,宁德鸳鸯溪
金堂,200,Jintang,1099,金堂县地处成都平原东北部，县境东邻中江县，西连成都市青白江区、龙泉驿区，南靠乐至县、简阳市，北接广汉市、中江县。县城距成都市中区28千米，金堂是“成都平原经济圈”内的重点发展县和成都市“特色产业发展区”。中河、毗河、北河穿城而过，有“天府花园水城”之美誉，被评为“全省县域经济发展先进县”2013中国西部百强县排名第52名。,金堂云顶山风景区,五凤溪,云顶石城
